Boek.BBnr;freq;Boek.category_music;Boek.type;Boek.title;Boek.author_type;Boek.ISBN_wrong;Boek.category_youth;Boek.ISSN;Boek.language;Boek.EAN;Boek.age;Boek.series_edition;Boek.keywords_youth;Boek.author_lastname;Boek.publisher;Boek.author_firstname;Boek.keywords_libraries;Boek.year_published;Boek.keywords_local;Boek.pages;Boek.category_adults;Boek.SISO;Boek.literarytype;Boek.EAN_wrong;Boek.ISBN;Boek.ISSN_wrong;Boek.SISO_libraries;Boek.AVI;Boek.openvlaccid;Boek.keyword_adults;Boek.ZIZO;Boek.series_title;Boek.keyword_youth;Boek.rank
1085393;319;;Boek;De hongerspelen;auteur;;Sciencefiction;;Nederlands;;vanaf 14 jaar;17;;Collins;Van Goor;Suzanne;;2013;;339 p.;Romans;;fictie;;9789047515975;;;;8362310;;;De hongerspelen;;30
1114829;312;;Boek;Het diner;auteur;;;;Nederlands;;;60;;Koch;Anthos;Herman;;2013;;300 p.;Romans;;fictie;;9789041416513;;;;8766947;Ouder-kindrelatie;;;;31
1133900;312;;Boek;Duizend schitterende zonnen;auteur;;;;Nederlands;;;36;;Hosseini;De Bezige Bij;Khaled;;2013;;397 p.;Romans;;fictie;;9789023477426;;;;8732840;Afghanistan ; 1945-;;;;32
181205;304;;Boek;Guinness world records ...;;;;;Nederlands;;informatief +8 jaar;;Records;;De Fontein;;;1992-;Friedl;;;041;non-fictie;;;;;;1059280;;SSSLWE;;;33
1025406;304;;Boek;De vijand;auteur;;;;Nederlands;;;1;;Aspe;Manteau;Pieter;;2010;;288 p.;Detectives;;fictie;;9789022324837;;;;7618896;Van In, Pieter (personage);;;;34
996749;300;;Boek;In de schaduw van het palazzo;auteur;;;;Nederlands;;;;;Montefiore;De Boekerij;Santa;;2009;;330 p.;Romantische literatuur;;fictie;;9789022551868;;;;7230143;;;;;35
1010787;300;;Boek;Medeplichtig;auteur;;;;Nederlands;;;1;;French;Anthos;Nicci;;2009;;318 p.;Romans;;fictie;;9789041415509;;;;7554120;;;;;36
998217;298;;Boek;Het spel van de engel;auteur;;;;Nederlands;;;;;Ruiz Zafón;Signatuur;Carlos;;2009;;551 p.;;;fictie;;9789056723156;;;;7237581;Barcelona ; 1900-1945;;Het kerkhof der vergeten boeken;;37
660976;296;;Tijdschrift;Wapiti;;;;;Nederlands;;;;Dieren;;Europese Jeugdbladen Pers;;;s.d.;;;;;;;;;;;74878;;;;;38
528462;292;;Tijdschrift;National geographic;;;;1568-1718;Nederlands;8717774080337;;;;;G+J/RBA;;;2000-;;;;950.3;;;;269;;;2214057;;WTWTWE;;;39
1085697;290;;Boek;Spotgaai;auteur;;Sciencefiction;;Nederlands;;vanaf 14 jaar;12;;Collins;Van Goor;Suzanne;;2012;;362 p.;Sciencefiction;;fictie;;9789000303120;;;;8390351;;;De hongerspelen;;40
1085718;286;;Boek;Vlammen;auteur;;Sciencefiction;;Nederlands;;vanaf 14 jaar;13;;Collins;Van Goor;Suzanne;;2012;;351 p.;Romans;;fictie;;9789047520184;;;;8390347;;;De hongerspelen;;41
1024789;285;;Boek;De affaire;auteur;;;;Nederlands;;;;;Montefiore;De Boekerij;Santa;;cop. 2010;;350 p.;Romantische literatuur;;fictie;;9789022553206;;;;7710592;;;;;42
1157696;282;;Boek;Verloren;auteur;;;;Nederlands;;volwassenen;14;;French;Anthos;Nicci;;2014;;293 p.;Romans;;fictie;;9789041426444;;;;9060898;;;;;43
980261;281;;Boek;De zigeunermadonna;auteur;;;;Nederlands;;;4de dr.;;Montefiore;De Boekerij;Santa;;2008;;336 p.;;;fictie;;9789022550236;;;;6882453;Identiteit;;;;44
987900;281;;Boek;Lust;auteur;;;;Nederlands;;;;;Deflo;Manteau;Luc;;2009;;326 p.;Detectives;;fictie;;9789022323229;;;;7098359;;;;;45
1162846;280;;Boek;De schaduw van de wind;auteur;;;;Nederlands;;volwassenen;40;;Ruiz Zafón;Signatuur;Carlos;;2014;;541 p.;Romans;;fictie;;9789056725198;;;;9235009;Boekcultuur;;Het kerkhof der vergeten boeken;;46
149070;277;;Tijdschrift;Eos magazine;;;;;Nederlands;5413095213562;;;;;Cascade;;;1983-;;;;502;non-fictie;;;64;;;846002;;WTWTWE;;;47
996574;277;;Boek;Misleid;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2009;;283 p.;Detectives;;fictie;;9789022323564;;;;7338271;Van In, Pieter (personage);;;;48
975142;276;;Boek;Vier muizen in het wilde westen;auteur;;Avonturenverhalen;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2008;;114 p.;;;fictie;;9789054615798;;;;7064683;;;;Muizen;49
1017759;275;;Boek;De verborgen stad;auteur;;Detectives;;Nederlands;;vanaf 7 jaar;;;Stilton;Baeckens Books;Thea;;2009;;178 p., [20] p.;;;fictie;;9789054614647;;;;7573188;;;;;50
1161295;272;;Boek;Sprakeloos;auteur;;;;Nederlands;;volwassenen;29;;Lanoye;Prometheus;Tom;;2014;Friedl;359 p.;Autobiografische literatuur;;fictie;;9789044627268;;;;9072459;Lanoye, Tom;;De Wase trilogie;;51
1022514;271;;Boek;De tovervinger;auteur;;Humor;;Nederlands;;vanaf 7 jaar;27;;Dahl;De Fontein;Roald;;2010;;62 p.;;;non-fictie;;9789026127960;;;;7564582;;;;Toveren;52
966083;269;;Boek;De zevende kamer;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2008;;289 p.;Detectives;;fictie;;9789022322468;;;;6882588;Van In, Pieter (personage);;;;53
1009073;269;;Boek;De cel;auteur;;;;Nederlands;;;;;Aspe;Manteau;Pieter;;2009;;282 p.;Detectives;;fictie;;9789022323557;;;;7482893;Van In, Pieter (personage);;;;54
