Boek.BBnr;freq;Boek.category_music;Boek.type;Boek.title;Boek.author_type;Boek.ISBN_wrong;Boek.category_youth;Boek.ISSN;Boek.language;Boek.EAN;Boek.age;Boek.series_edition;Boek.keywords_youth;Boek.author_lastname;Boek.publisher;Boek.author_firstname;Boek.keywords_libraries;Boek.year_published;Boek.keywords_local;Boek.pages;Boek.category_adults;Boek.SISO;Boek.literarytype;Boek.EAN_wrong;Boek.ISBN;Boek.ISSN_wrong;Boek.SISO_libraries;Boek.AVI;Boek.openvlaccid;Boek.keyword_adults;Boek.ZIZO;Boek.series_title;Boek.keyword_youth;Boek.rank
1158242;1328;;Boek;De helaasheid der dingen;auteur;;;;Nederlands;;volwassenen;60;;Verhulst;Atlas Contact;Dimitri;;2014;Friedl;206 p.;Autobiografische literatuur;;fictie;;9789025443689;;;;9060294;Verhulst, Dimitri;;;;29
1089034;1313;;Boek;De Franse tuinman;auteur;;;;Nederlands;;;23;;Montefiore;Boekerij;Santa;;2011;;383 p.;Romantische literatuur;;fictie;;9789022559789;;;;8076267;;;;;30
323962;1312;;Tijdschrift;Goed gevoel;;;;0779-2395;Nederlands;5420022906640;;;;;Sparta;;;1992-;;;;601.2;;;;;;;2101793;;LGLGLG;;;31
661019;1309;;Tijdschrift;Pippo;;;;;Nederlands;8710966361757;;;Jeugdtijdschriften;;Malmberg;;;s.d.;;;;;;;;;;;1630240;;;;;32
150008;1295;;Tijdschrift;Groei en bloei;;;;0017-4475;Nederlands;8710966759479;;;;;Koninklijke Maatschappij Tuinbouw en Plantkunde;;;s.d.;;;;637.5;;;;;;;1052481;;PTTUTU;;;33
528462;1282;;Tijdschrift;National geographic;;;;1568-1718;Nederlands;8717774080337;;;;;G+J/RBA;;;2000-;;;;950.3;;;;269;;;2214057;;WTWTWE;;;34
677023;1281;;Boek;Groot tekenboek voor beginners;auteur;;;;Nederlands;;informatief +8 jaar;;Tekenen;Legendre;Casterman;Philippe;;1994-2002;;;;;;;;;;;;;;;;35
684758;1278;;Tijdschrift;Kinderhanden;;;;;Nederlands;8710823014789;;;Knutselen;;Semic Juniorpress;;;1995-2011;;;;;;;;;;;1639739;;;;;36
1162430;1274;;Boek;Fantasia;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;12;;Stilton;De Wakkere Muis;Geronimo;;2014;;295, [88] p.;;;fictie;;9789085920496;;;;9388230;;;;;37
1158034;1269;;Boek;De eenzaamheid van de priemgetallen;auteur;;;;Nederlands;;vanaf 15 jaar;40;;Giordano;Cargo;Paolo;;2013;;318 p.;Romans;;fictie;;9789023463733;;;;8825307;Vriendschap;;;;38
319074;1250;;Tijdschrift;Clickx magazine;;;;;Nederlands;5414206070012;;;;;Minoc Business Press;;;1996-;;;;520.2;;;;;;;1704500;;COCOCO;;;39
978716;1247;;Boek;Wat te doen als iemand sterft;auteur;;;;Nederlands;;;;;French;Anthos;Nicci;;cop. 2008;;303 p.;Thrillers;;fictie;;9789041410177;;;;7117683;;;;;40
1114829;1244;;Boek;Het diner;auteur;;;;Nederlands;;;60;;Koch;Anthos;Herman;;2013;;300 p.;Romans;;fictie;;9789041416513;;;;8766947;Ouder-kindrelatie;;;;41
961287;1239;;Boek;De rimboe in met Patty Spring!;auteur;;;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2008;;111 p., [17] p.;;;fictie;;9789054615804;;;;6944891;;;;Australië;42
1133900;1225;;Boek;Duizend schitterende zonnen;auteur;;;;Nederlands;;;36;;Hosseini;De Bezige Bij;Khaled;;2013;;397 p.;Romans;;fictie;;9789023477426;;;;8732840;Afghanistan ; 1945-;;;;43
1021731;1223;;Boek;Het ijzingwekkende geheim;auteur;;Avonturenverhalen;;Nederlands;;vanaf 7 jaar;1;;Stilton;Baeckens Books;Thea;;cop. 2010;;178 p., [40] p.;;;fictie;;9789054614654;;;;7675646;;;;;44
1017759;1217;;Boek;De verborgen stad;auteur;;Detectives;;Nederlands;;vanaf 7 jaar;;;Stilton;Baeckens Books;Thea;;2009;;178 p., [20] p.;;;fictie;;9789054614647;;;;7573188;;;;;45
1161295;1214;;Boek;Sprakeloos;auteur;;;;Nederlands;;volwassenen;29;;Lanoye;Prometheus;Tom;;2014;Friedl;359 p.;Autobiografische literatuur;;fictie;;9789044627268;;;;9072459;Lanoye, Tom;;De Wase trilogie;;46
1020898;1212;;Boek;Matilda;auteur;;Humor;;Nederlands;;vanaf 9 jaar;61;;Dahl;De Fontein;Roald;;2010;Friedl;206 p.;;;fictie;;9789026197963;;;;7675572;;;;Hoogbegaafde kinderen;47
1162439;1209;;Boek;Fantasia;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;16;;Stilton;De Wakkere Muis;Geronimo;;2015;;378 p.;;;fictie;;9789058930088;;;;9395311;;;;;48
1111606;1195;;Boek;De GVR;auteur;;Humor;;Nederlands;;vanaf 9 jaar;57;;Dahl;De Fontein;Roald;;2012;;206 p.;;;fictie;;9789026131783;;;;8676366;;;;Reuzen;49
1158276;1189;;Boek;De engelenmaker;auteur;;;;Nederlands;;volwassenen;39;;Brijs;Atlas Contact;Stefan;;2014;;428 p.;Romans;;fictie;;9789045020068;;;;9342813;Klonen;;;;50
1157968;1173;;Boek;De aanslag;auteur;;;;Nederlands;;volwassenen;57;;Mulisch;De Bezige Bij;Harry;;2014;;247 p.;Romans;;fictie;;9789023473251;;;;9167230;Verzet ; Nederland ; Wereldoorlog II;;;;51
1155878;1170;;Boek;Fantasia;auteur;;Avonturenverhalen;;Nederlands;;vanaf 8 jaar;12;;Stilton;De Wakkere Muis;Geronimo;;2014;;317 p., [69] p.;;;fictie;;9789085920168;;;;9242587;;;;;52
1085718;1168;;Boek;Vlammen;auteur;;Sciencefiction;;Nederlands;;vanaf 14 jaar;13;;Collins;Van Goor;Suzanne;;2012;;351 p.;Romans;;fictie;;9789047520184;;;;8390347;;;De hongerspelen;;53
1017547;1163;;Boek;De reis om de wereld in 80 dagen;auteur;;;;Nederlands;;vanaf 9 jaar;;;Stilton;Baeckens Books;Geronimo;;2009;;212 p.;;;fictie;;9789054613862;;;;7548039;;;;Wereldreizen;54
506580;1155;;Tijdschrift;Feeling;;;;;Nederlands;5414298090448;;;;;Mediaxis;;;1990-;;;;051;;;;;;;1835203;;KLUIUI;;;55
923143;1140;;Boek;De geheimzinnige kaasdief;auteur;;Detectives;;Nederlands;;vanaf 8 jaar;;;Stilton;Bakermat;Geronimo;;2012;;117 p.;;;;;9789054614104;;;;7455314;;;;Muizen;56
1085697;1134;;Boek;Spotgaai;auteur;;Sciencefiction;;Nederlands;;vanaf 14 jaar;12;;Collins;Van Goor;Suzanne;;2012;;362 p.;Sciencefiction;;fictie;;9789000303120;;;;8390351;;;De hongerspelen;;57
996749;1130;;Boek;In de schaduw van het palazzo;auteur;;;;Nederlands;;;;;Montefiore;De Boekerij;Santa;;2009;;330 p.;Romantische literatuur;;fictie;;9789022551868;;;;7230143;;;;;58
904729;1124;;Boek;Weerwolvenfeest;auteur;;Griezelverhalen;;Nederlands;;vanaf 7 jaar;;;Van Loon;Leopold;Paul;;2006;;69 p.;;;;;90-258-4924-5;;;;2939699;;;;Weerwolven;59
1010787;1111;;Boek;Medeplichtig;auteur;;;;Nederlands;;;1;;French;Anthos;Nicci;;2009;;318 p.;Romans;;fictie;;9789041415509;;;;7554120;;;;;60
1155873;1111;;Boek;Bekijk het maar!;auteur;;Humor;;Nederlands;;vanaf 10-11 jaar;11;;Kinney;De Fontein;Jeff;;2014;;223 p.;;;fictie;;9789026195396;;;;9198718;;;;Opgroeien;61
905450;1110;;Tijdschrift;Bodytalk;;;;1783-3000;Nederlands;;;;;;Roularta Media Group;;;2006-;;;;601.2;;;;349;;;3030820;;LGGLGL;;;62
